,DateTime,StartTime,EndTime,SurfaceLogger,StartSurfaceTemp,EndSurfaceTemp,PoleLogger,PoleTemp,Utility Pole #,Latitude,Longitude,Sun/Shade,Trees?,SummedBA,DistanceDecay
65,2022-08-11 12:44:00,12:39,12:44,21302973,45.09,44.48,21223138,23.869,TP21036,47.215322,-122.48205,Sun,Y,0.12774501127659496,0.007984063204787185
66,2022-08-11 13:00:00,12:54,13:00,21302973,32.47,31.14,21302974,23.25,TP32717,47.211774,-122.482961,Shade,Y,1.029244658178271,0.037558125752046735
67,2022-08-11 14:26:00,14:21,14:26,21302973,32.56,42.47,21223136,25.416,TP13307,47.212105,-122.469791,Sun,Y,0.001963495408493621,0.0002181661564992912
68,2022-08-11 14:34:00,14:29,14:34,21302973,40.02,43.93,21223130,26.195,112049 50/3,47.210805,-122.470919,Sun,Y,0.0,0.0
69,2022-08-11 14:37:00,14:32,14:37,21302954,30.5,41.91,21223108,25.902,TP5817,47.217006,-122.482094,Sun,Y,0.07853981633974483,0.004908738521234052
70,2022-08-11 14:39:00,14:34,14:39,21302958,33.89,46.37,21223121,25.902,TP23269,47.216736,-122.480436,Sun,N,0.018928095737878504,0.0003862876681199694
71,2022-08-11 14:41:00,14:36,14:41,21302973,41.7,41.65,21223103,25.222,52/1,47.209692,-122.470915,Sun,N,0.0,0.0
72,2022-08-11 14:43:00,14:38,14:43,21302954,41.14,48.39,21223122,25.805,TP21035,47.216008,-122.482092,Sun,Y,0.001963495408493621,1.963495408493621e-05
73,2022-08-11 14:46:00,14:40,14:46,21302958,44.53,37.66,21223112,24.931,TP24408,47.21673,-122.479465,Sun,Y,0.14616259820826513,0.007436935209210438
74,2022-08-11 14:47:00,14:42,14:47,21302945,0.0,0.0,21223129,24.641,A1341128,47.218758,-122.478509,Sun,N,0.0,0.0
75,2022-08-11 14:49:00,14:44,14:49,21302978,30.93,38.74,21302961,,TP21631/A1353441,47.224934,-122.469844,Sun,Y,0.01672898088036565,0.0016776977434795493
76,2022-08-11 14:49:00,14:44,14:49,21302978,30.93,38.74,21302961,,TP21631/A1353441,47.224934,-122.469844,Sun,Y,0.01672898088036565,0.0016776977434795493
77,2022-08-11 14:50:00,14:45,14:50,21302954,43.03,34.79,21223138,25.416,TP21036,47.215322,-122.48205,Shade,Y,0.12774501127659496,0.007984063204787185
78,2022-08-11 14:50:00,14:45,14:50,21302973,38.69,48.3,21223104,25.319,CP10,47.20749,-122.471139,Sun,N,0.0,0.0
79,2022-08-11 14:51:00,14:46,14:51,21302949,0.0,0.0,21223123,25.513,TP20171,47.209033,-122.475016,Sun,N,0.0,0.0
80,2022-08-11 14:53:00,14:47,14:53,21302958,37.02,30.33,21223132,24.931,TP14329,47.216757,-122.478987,Shade,Y,0.16493361431346415,0.0045814892864851145
81,2022-08-11 14:54:00,14:49,14:54,21302965,40.71,46.16,21223137,25.805,TP10073,47.219059,-122.482101,Sun,N,0.0,0.0
82,2022-08-11 14:56:00,14:51,14:56,21302945,0.0,0.0,21223126,26.097,TP3972,47.218737,-122.476183,Sun,Y,0.0003141592653589793,3.1415926535897933e-06
83,2022-08-11 14:57:00,14:52,14:57,21302954,34.75,32.34,21223106,25.708,TPU927,47.214566,-122.483749,Shade,N,0.0,0.0
84,2022-08-11 14:58:00,14:53,14:58,21302973,43.46,51.52,21223133,25.902,TP3890,47.206095,-122.4711,Sun,N,0.0,0.0
85,2022-08-11 15:00:00,14:55,15:00,21302965,45.86,45.6,21223113,3.03,TP9241,47.219557,-122.482151,Sun,Y,0.006283185307179586,0.0005934119456780719
86,2022-08-11 15:00:00,14:55,15:00,21302978,38.78,38.78,21302966,25.52,TP21898,,,Sun,,0.0,0.0
87,2022-08-11 15:01:00,14:55,15:01,21302958,30.67,40.92,21223119,25.222,TP9179,,,Sun,,0.0,0.0
88,2022-08-11 15:02:00,14:57,15:02,21302949,0.0,0.0,21223134,25.513,NO NUM,47.210787,-122.473819,Sun,Y,0.031415926535897934,0.0004908738521234052
89,2022-08-11 15:02:00,14:57,15:02,21302945,0.0,0.0,21223110,25.222,14998,47.219307,-122.475104,Sun,N,0.0,0.0
90,2022-08-11 15:04:00,14:59,15:04,21302954,33.42,43.37,21223116,25.028,A1340985,47.213277,-122.483526,Sun,Y,2.424759749856942,0.04143687018405408
91,2022-08-11 15:05:00,15:00,15:05,21302954,36.21,39.89,21302950,25.78,TP6340,47.216117,-122.473789,Sun,N,0.0,0.0
92,2022-08-11 15:06:00,15:01,15:06,21302978,37.23,32.26,21302944,24.79,TP21897/A1353217,47.227716,-122.469666,Shade,,0.0,0.0
93,2022-08-11 15:08:00,15:03,15:08,21302958,35.52,42.94,21223111,25.902,TP9182,47.216742,-122.476333,Sun,N,0.0,0.0
94,2022-08-11 15:09:00,15:05,15:09,21302945,0.0,0.0,21223125,25.902,TP32711/A0572122,47.218265,-122.4751,Sun,Y,0.0012566370614359172,1.2566370614359173e-05
95,2022-08-11 15:10:00,15:05,15:10,21302949,0.0,0.0,21223115,25.513,TP34216,47.211891,-122.473814,Sun,Y,0.017671458676442587,0.0011044661672776617
96,2022-08-11 15:11:00,15:06,15:11,21302954,37.54,38.39,21302947,26.12,TP6336,47.216881,-122.473775,Sun,Y,0.09905834335850315,0.0017322998843145102
97,2022-08-11 15:12:00,15:08,15:12,21302965,39.12,42.85,21223131,25.416,TP13988,47.221409,-122.484049,Sun,N,0.0,0.0
98,2022-08-11 15:12:00,15:07,15:12,21302954,36.03,39.64,21302974,25.57,TP32717,47.211774,-122.482961,Shade,Y,1.029244658178271,0.037558125752046735
99,2022-08-11 15:12:00,15:07,15:12,21302973,39.51,44.7,21223128,26.488,A1346792,47.201034,-122.46815,Sun,Y,0.32554753872824227,0.00595864133277124
100,2022-08-11 15:15:00,15:10,15:15,21302945,0.0,0.0,21223107,25.708,TP20001,47.217921,-122.475142,Sun,Y,0.0,0.0
101,2022-08-11 15:17:00,15:12,15:17,21302949,0.0,0.0,21223139,25.902,TP34225,47.212423,-122.473859,Sun,Y,0.011309733552923255,0.0007068583470577034
102,2022-08-11 15:17:00,15:12,15:17,21302954,39.64,31.87,21302953,25.14,TP6335,47.220145,-122.473804,Shade,Y,0.06251769380643689,0.006098965804631585
103,2022-08-11 15:17:00,15:12,15:17,21302958,40.88,38.74,21223124,25.416,TP24199,47.216678,-122.475183,Sun,Y,0.04908738521234052,0.0004908738521234052
104,2022-08-11 15:21:00,15:16,15:21,21302965,40.19,47.66,21223101,25.416,TP15706,47.22233,-122.483463,Sun,N,0.0,0.0
105,2022-08-11 15:22:00,15:16,15:22,21302973,38.39,34.02,21223135,25.319,TP20080,47.199322,-122.467007,Shade,Y,0.695293359101676,0.018843721151783517
106,2022-08-11 15:23:00,15:19,15:23,21302978,42.47,46.29,21302971,26.34,TP25239/A1353202,47.226325,-122.473356,Sun,N,0.0,0.0
107,2022-08-11 15:25:00,15:20,15:25,21302949,0.0,0.0,21223120,25.805,TP24409,47.213278,-122.473825,Sun,Y,0.004417864669110646,9.189158511750144e-05
108,2022-08-11 15:25:00,15:20,15:25,21302954,30.28,28.65,21302963,25.35,TP6325,,,Sun,,0.0,0.0
109,2022-08-11 15:29:00,15:24,15:29,21302965,42.34,44.44,21223102,25.319,TP13987,47.220944,-122.484222,Sun,Y,0.1413716694115407,0.006381360077604268
110,2022-08-11 15:32:00,15:26,15:32,21302978,44.87,36.42,21302951,26.85,TP21629,47.226471,-122.471788,Shade,Y,0.0,0.0
